"ogc_fid","rte","dir","rte_desc","public_rte","dir_desc","frequent","type"
76,66,0,"Marquam Hill/Hollywood","66","To Hollywood Transit Center","False","BUS"
77,15,1,"Belmont/NW 23rd","15","To Gateway Transit Center","True","BUS"
78,22,1,"Parkrose","22","To Gateway Transit Center","False","BUS"
79,50,0,"Cedar Mill","50","Evening Loop","False","BUS"
80,200,0,"MAX Green Line","","To Clackamas Town Center","False","MAX"
81,14,1,"Hawthorne","14","To Portland City Center","True","BUS"
82,73,0,"122nd Ave","73","To Foster & 94th","False","BUS"
83,100,0,"MAX Blue Line","","To Gresham","True","MAX"
84,46,0,"North Hillsboro","46","To Hillsboro Brookwood Library","False","BUS"
85,99,0,"Macadam/McLoughlin","99","To Clackamas Community College via Sellwood","False","BUS"
86,48,0,"Cornell","48","To Hillsboro Transit Center","False","BUS"
87,200,1,"MAX Green Line","","To Portland City Center/PSU","True","MAX"
88,17,0,"Holgate/Broadway","17","To Holgate & 134th","False","BUS"
89,9,0,"Powell Blvd","9","To Powell & 98th or Gresham Transit Center","True","BUS"
90,94,0,"Pacific Hwy/Sherwood","94","To Sherwood","False","BUS"
91,36,0,"South Shore","36","To Tualatin Park & Ride","False","BUS"
92,33,1,"McLoughlin/King Rd","33","To Milwaukie or Clackamas Town Center","True","BUS"
93,50,1,"Cedar Mill","50","Morning Loop","False","BUS"
94,14,0,"Hawthorne","14","To Foster & 94th","True","BUS"
95,73,1,"122nd Ave","73","To Parkrose Transit Center","False","BUS"
96,100,1,"MAX Blue Line","","To Hillsboro","True","MAX"
97,33,1,"McLoughlin/King Rd","33","To Milwaukie or Clackamas Town Center","False","BUS"
98,37,1,"Lake Grove","37","To Lake Oswego Transit Center","False","BUS"
99,9,0,"Powell Blvd","9","To Powell & 98th or Gresham Transit Center","False","BUS"
100,24,0,"Fremont","24","To Emanuel Hospital","False","BUS"
101,77,1,"Broadway/Halsey","77","To Montgomery Park","False","BUS"
102,30,1,"Estacada","30","To Clackamas Town Center","False","BUS"
103,63,0,"Washington Park/Arlington Hts","63","To Washington Park","False","BUS"
104,66,1,"Marquam Hill/Hollywood","66","To Marquam Hill","False","BUS"
105,15,0,"Belmont/NW 23rd","15","To City Ctr, Montgomery Pk, Thurman or Yeon & 44th","True","BUS"
106,22,0,"Parkrose","22","To Parkrose","False","BUS"
107,15,1,"Belmont/NW 23rd","15","To Gateway Transit Center","False","BUS"
108,9,1,"Powell Blvd","9","To Portland","True","BUS"
109,17,1,"Holgate/Broadway","17","To Saratoga & 27th","False","BUS"
110,56,0,"Scholls Ferry Rd","56","To Washington Square Transit Center","True","BUS"
111,46,1,"North Hillsboro","46","To Hillsboro Transit Center","False","BUS"
112,99,1,"Macadam/McLoughlin","99","To Portland City Center via Sellwood","False","BUS"
113,23,1,"San Rafael","23","To Gateway Transit Center","False","BUS"
114,48,1,"Cornell","48","To Sunset Transit Center","False","BUS"
115,200,0,"MAX Green Line","","To Clackamas Town Center","True","MAX"
116,33,0,"McLoughlin/King Rd","33","To Oregon City TC and Clackamas Community College","True","BUS"
117,12,1,"Barbur/Sandy Blvd","12","To Parkrose/Sumner Transit Center","True","BUS"
118,56,1,"Scholls Ferry Rd","56","To Portland City Center","False","BUS"
119,90,1,"MAX Red Line","","To Beaverton Transit Center","True","MAX"
120,18,0,"Hillside","18","To Hillside and Providence Park","False","BUS"
121,203,1,"WES Commuter Rail","","To Beaverton","False","CR"
122,44,1,"Capitol Hwy/Mocks Crest","44","To St Johns","False","BUS"
123,53,1,"Arctic/Allen","53","Morning Loop","False","BUS"
124,42,0,"Denney/Hall","42","To Tigard TC","False","BUS"
125,59,0,"Walker/Park Way","59","To Willow Creek/SW 185th Ave Transit Center","False","BUS"
126,25,0,"Glisan/Rockwood","25","To Gateway Transit Center","False","BUS"
127,92,1,"South Beaverton Express","92","To Portland City Center","False","BUS"
128,39,1,"Lewis & Clark","39","To Hillsdale","False","BUS"
129,52,1,"Farmington/185th","52","To Beaverton Transit Center","False","BUS"
130,76,1,"Beaverton/Tualatin","76","To Beaverton Transit Center","False","BUS"
131,20,1,"Burnside/Stark","20","To Gresham Transit Center","False","BUS"
132,57,0,"TV Hwy/Forest Grove","57","To Forest Grove","True","BUS"
133,35,1,"Macadam/Greeley","35","To University of Portland","False","BUS"
134,65,1,"Marquam Hill/Barbur Blvd","65","To Marquam Hill","False","BUS"
135,78,0,"Beaverton/Lake Oswego","78","To Lake Oswego Transit Center","False","BUS"
136,57,1,"TV Hwy/Forest Grove","57","To Beaverton Transit Center","False","BUS"
137,81,0,"Kane/257th","81","To Troutdale Airport Business Park","False","BUS"
138,32,0,"Oatfield","32","To Clackamas CC","False","BUS"
139,51,1,"Vista","51","To Portland City Center","False","BUS"
140,85,0,"Swan Island","85","To Swan Island","False","BUS"
141,19,1,"Woodstock/Glisan","19","To Gateway Transit Center","False","BUS"
142,82,0,"South Gresham","82","To Powell & 182nd","False","BUS"
