"ogc_fid","rte","dir","rte_desc","dir_desc","type","stop_seq","stop_id","stop_name","jurisdic","zipcode","frequent"
46,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",3350,4839,"SE River Rd & Cooke","Clackamas Co.","97267","False"
47,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",3400,4824,"17300 Block SE River Rd","Clackamas Co.","97267","False"
48,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",3450,4880,"SE River Rd & Roethe","Clackamas Co.","97267","False"
49,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",3500,4834,"SE River Rd & Boardman","Clackamas Co.","97267","False"
50,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",3550,13215,"18100 Block SE River Rd","Clackamas Co.","97267","False"
51,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",3600,4852,"SE River Rd & Jennings","Clackamas Co.","97267","False"
52,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",3650,4850,"SE River Rd & Hull Ave","Clackamas Co.","97267","False"
53,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",3700,4871,"SE River Rd & River Dr","Clackamas Co.","97267","False"
54,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",3750,4861,"SE River Rd & Meldrum","Clackamas Co.","97267","False"
55,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",3800,4836,"SE River Rd & Britton","Clackamas Co.","97267","False"
56,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",3850,1993,"Glen Echo & SE Mildred","Gladstone","97027","False"
57,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",3900,14,"Abernethy & Duniway","Gladstone","97027","False"
58,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",3950,10,"Abernethy & Barclay","Gladstone","97027","False"
59,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",4000,11,"Abernethy & Beatrice","Gladstone","97027","False"
60,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",4050,17,"Abernethy & Portland Ave","Gladstone","97027","False"
61,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",4100,4475,"Portland Ave & W Ipswich","Gladstone","97027","False"
