HWYNAME,HWYNUMB,ST_HWY_SFX,RDWY_ID,MLGE_TYP,OVLP_CD,MP,MP_DESC,MP_DISP,LRS_KEY,LRM_KEY,LAT,LONGTD,HRZ_COL_M,CRD_RF_DTM,EFFECTV_DT,GIS_PRC_DT
COLUMBIA RIVER,002,00,2,0,0,96,MILEPOST 96.00,96.00,000200200S00,00200D00,45.6436505,-120.9791961,3,NAD 83,2014,07/14/2015
COLUMBIA RIVER,002,00,2,0,0,97.05,MILEPOST 97.00,97.00,000200200S00,00200D00,45.6496264,-120.9595031,3,NAD 83,2014,07/14/2015
COLUMBIA RIVER,002,00,2,0,0,98,MILEPOST 98.00,98.00,000200200S00,00200D00,45.6530858,-120.9419532,3,NAD 83,2014,07/14/2015
COLUMBIA RIVER,002,00,2,0,0,99.07,MILEPOST 99.00,99.00,000200200S00,00200D00,45.6413088,-120.9274011,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,107.97,MILEPOST 108.00,108.00,000100100S00,00100D00,43.0215937,-123.3003579,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,109.01,MILEPOST 109.00,109.00,000100100S00,00100D00,43.0298831,-123.3097819,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,110,MILEPOST 110.00,110.00,000100100S00,00100D00,43.0342658,-123.3283394,3,NAD 83,2014,07/14/2015
MT. HOOD,026,00,1,0,0,21,MILEPOST 21.00,21.00,002600100S00,02600I00,45.4191623,-122.3203812,3,NAD 83,2014,07/14/2015
MT. HOOD,026,00,1,0,0,20,MILEPOST 20.00,20.00,002600100S00,02600I00,45.4278011,-122.3360835,3,NAD 83,2014,07/14/2015
NORTH UMPQUA HIGHWAY EAST,138,00,1,0,0,26.98,MILEPOST 27.00,27.00,013800100S00,13800I00,43.2983431,-122.9344741,3,NAD 83,2014,07/14/2015
NORTH UMPQUA HIGHWAY EAST,138,00,1,0,0,25.95,MILEPOST 26.00,26.00,013800100S00,13800I00,43.3024862,-122.9531677,3,NAD 83,2014,07/14/2015
COQUILLE-BANDON,244,00,1,0,0,4,MILEPOST 4.00,4.00,024400100S00,24400I00,43.1294171,-124.334034,3,NAD 83,2014,07/14/2015
COQUILLE-BANDON,244,00,1,0,0,5,MILEPOST 5.00,5.00,024400100S00,24400I00,43.1198843,-124.3214283,3,NAD 83,2014,07/14/2015
COQUILLE-BANDON,244,00,1,0,0,6,MILEPOST 6.00,6.00,024400100S00,24400I00,43.1089267,-124.3120156,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,292.01,MILEPOST 292.00,292.00,000100100S00,00100D00,45.4181604,-122.7442036,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,293.01,MILEPOST 293.00,293.00,000100100S00,00100D00,45.4326451,-122.7443342,3,NAD 83,2014,07/14/2015
